Material,Material Type,Description,Base UOM,Material Group
130000006,ZSTO,DRILL BIT 41 MM TAPER SHANK HSS TWIST,NO,13
130000007,ZSTO,DRILL BIT 43 MM TAPER SHANK HSS TWIST,NO,13
130000008,ZSTO,DRILL BIT 45 MM TAPER SHANK HSS TWIST,NO,13
130000009,ZSTO,DRILL BIT 47 MM TAPER SHANK HSS TWIST,NO,13
130000010,ZSTO,DRILL BIT 49 MM TAPER SHANK HSS TWIST,NO,13
130000011,ZSTO,DRILL BIT 50 MM TAPER SHANK HSS TWIST,NO,13
130000012,ZSTO,DRILL BIT 2 MM TAPE SHANK HSS TWIST,NO,13
130000013,ZSTO,"GRINDING WHEEL 7""X1""X5/8""-36 GRIT",NO,13
130000014,ZSTO,"GRINDING WHEEL 7""X1""X5/8""-60 GRIT",NO,13
130000015,ZSTO,"SLIP DIES 2 7/8""",NO,13
130000016,ZSTO,"DIES HYDRAULIC TONG 2.7/8""",NO,13
130000017,ZSTO,"DIES SLIP 3.1/2""",NO,13
130000018,ZSTO,"DIES PNEUMATIC SLIP 3.1/2""",NO,13
130000019,ZSTO,"DIES HYDRAULIC TONG 3.1/2""",NO,13
130000020,ZSTO,ROLLER STEM 1.5'' SOLID STEEL ALLOY METAL ROLLERS WITHOUT BREECH LOC 2 FT,NO,13
130000021,ZSTO,3 FT ROLLER STEM 1.5'' SOLID STEEL ALLOY METAL ROLLERS WITHOUT BREECH LOC 3' F/N1.375'',NO,13
130000022,ZSTO,5 ROLLER STEM 1.5'' SOLID STEEL ALLOY METAL ROLLERS WITHOUT BREECH LOC 5' 1F/N 1.375'',NO,13
130000023,ZSTO,HAMMER BALL PEEN 5 LB,NO,13
130000024,ZSTO,"TRIANGULAR FILE 1 CUT 8"" SMOOTH",NO,13
130000025,ZSTO,"SCREW DRIVER 18"" UN-INSULATED",NO,13
130000026,ZSTO,END MILL HSS 10 MM TAPER SHANK DRILL,NO,13
130000027,ZSTO,END MILL HSS 18 MM TAPER SHANK DRILL,NO,13
130000028,ZSTO,END MILL HSS 22 MM TAPER SHANK DRILL,NO,13
130000029,ZSTO,END MILL HSS 26 MM TAPER SHANK DRILL,NO,13
130000030,ZSTO,SE RING SPANNER 55MM WITH HAMMER SLEDGE,NO,13
130000031,ZSTO,SE RING SPANNER 65MM WITH HAMMER SLEDGE,NO,13
130000032,ZSTO,SE RING SPANNER 80MM WITH HAMMER SLEDGE,NO,13
130000033,ZSTO,DE RING SPANNER SET 3/8IN - 1.1/4IN,NO,13
130000034,ZSTO,"OUTSIDE CALIPER 10""",NO,13
130000035,ZSTO,SE RING SPANNER 40 MM WITH HAMMER SLEDGE,NO,13
130000036,ZSTO,"DE OPEN JAW SPANNER NONSPARKING,SIZE8X9.",NO,13
130000037,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE10X11,NO,13
130000038,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE12X13,NO,13
130000039,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE14X15,NO,13
130000040,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE16X17,NO,13
130000041,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE18X19,NO,13
130000042,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE20X22,NO,13
130000043,ZSTO,DE OPEN JAW SPANNER NONSPARKNG.SIZE21X33,NO,13
130000044,ZSTO,HOLDER 1000W STRIP TYPE 1000W HALOGEN LAMP HOLDER(STRIP TYPE),NO,13
130000045,ZSTO,ADJUSTABLE REAMER TABLE RAMP,NO,13
130000046,ZSTO,"TOOL HOLDER FLAT BOTTOM MILL RH 4 1/2""& 4 3/4"")",NO,13
130000047,ZSTO,"TOOL HOLDER FLAT BOTTOM MILLS LH SIZE 4 1/2"" & 4 3/4""",NO,13
130000048,ZSTO,"TOOL HOLDER STAR JUNK MILLS RH SIZE 4 1/2"" & 4 3/4""",NO,13
130000049,ZSTO,"TOOL HOLDER STAR JUNK MILLS LH SIZE 4 1/2"" & 4 3/4""",NO,13
130000050,ZSTO,"TOOL HOLDER CONICAL MILLING TOOL RIGHTHAND, SIZE 4 1/2"" & 4 3/4""",NO,13
130000051,ZSTO,"TOOL HOLDER CONICAL MILLING TOOL LEFT HAND, SIZE- 4 1/2"" & 4 3/4""",NO,13
130000052,ZSTO,TOOL HOLDER PILOT MILLING TOOL RIGHT HAND,NO,13
130000053,ZSTO,"TOOL HOLDER PERIPHERAL MILLING T PERIPHERAL MIILING TOOL RH, 4 1/2""&4 3/4"" WITH SHOES",NO,13
130000054,ZSTO,"TOOL HOLDER PERIPHERAL MILLING T PERIPHERAL MILLING TOOL LH 4 1/2"" & 4 3/4"" WITH SHOES",NO,13
130000055,ZSTO,BEARING PULLER MECHANICAL EASY PULL,NO,13
130000056,ZSTO,BEARING PULLER HYDRAULIC EASY PULL,NO,13
130000057,ZSTO,"COMBINATION SPANNER 5/16""",NO,13
130000058,ZSTO,"COMBINATION SPANNER 3/8""",NO,13
130000059,ZSTO,"COMBINATION SPANNER 7/8""",NO,13
130000060,ZSTO,"COMBINATION SPANNER 9/16""",NO,13
130000061,ZSTO,"COMBINATION SPANNER 5/8""",NO,13
130000062,ZSTO,"COMBINATION SPANNER 3/4""",NO,13
130000063,ZSTO,"COMBINATION SPANNER 1""",NO,13
130000064,ZSTO,"SE RING SPANNER SLUGGING ,1-1/8""",NO,13
130000065,ZSTO,"SE RING SPANNER SLUGGING,1-7/8""",NO,13
130000066,ZSTO,"SE RING SPANNER SLUGGING,2""",NO,13
130000067,ZSTO,"SE RING SPANNER SLUGGING,2-1/8""",NO,13
130000068,ZSTO,"SE RING SPANNER SLUGGING,2-5/8""",NO,13
130000069,ZSTO,"SE RING SPANNER SLUGGING,2-7/8""",NO,13
130000070,ZSTO,"SE RING SPANNER SLUGGING,3-7/8""",NO,13
130000071,ZSTO,"SE RING SPANNER SLUGGING,4""",NO,13
130000072,ZSTO,"SE RING SPANNER SLUGGING,1-1/2""",NO,13
130000073,ZSTO,"TAP SET 7/32"" BSW",NO,13
130000074,ZSTO,"TAP SET 9/32"" BSW",NO,13
130000075,ZSTO,"TAP SET 3/8"" BSW",NO,13
130000076,ZSTO,"TAP SET 7/16"" BSW",NO,13
130000077,ZSTO,"CIRCLIP PLIER 12""",NO,13
130000078,ZSTO,"CIRCLIP PLIER 18""",NO,13
130000079,ZSTO,HAMMER BALL PEEN 200 GM,NO,13
130000080,ZSTO,"TAP SET 1/16"" BSW",NO,13
130000081,ZSTO,"ROUND FILE 2 CUT 12"" ROUGH",NO,13
130000082,ZSTO,BORE GAUGE 400 - 500 MM CYLINDER BORE GAUGE FOR MEASURING UP TO 500 MM BORE,NO,13
130000083,ZSTO,"TAP 4 5/8"" LH TAPER TAP TO CATCH 2 7/8"", 6.5PPF TUBING",NO,13
130000084,ZSTO,"TAP 2 7/8"" LH,ROTARY TAPER TAP TO CATCH 2 7/8"",6.5 PPF TUBING",NO,13
130000085,ZSTO,"TAP 4 1/2"" LH,DIE COLLAR TAPER TAP TO CATCH 2 7/8"" DRILL PIPE/TUBING",NO,13
130000086,ZSTO,"TAP 4 1/2"" LH,ROTARY TAPER TAP",NO,13
130000087,ZSTO,"TAP 4 1/8"" LH, ROTARY TAPER TAP",NO,13
130000088,ZSTO,"TAP 4 5/8"" LH, ROTARY TAPER TAP HAVINGFLUTE WICKER TO CATCH 2 7/8"",6.5PPF,EUE TUBING",NO,13
130000089,ZSTO,46MM SPANNER HEAVY DUTY OPEN END,NO,13
130000090,ZSTO,55MM SPANNER HEAVY DUTY OPEN END,NO,13
130000091,ZSTO,60MM SPANNER HEAVY DUTY OPEN END,NO,13
130000092,ZSTO,70MM SPANNER HEAVY DUTY OPEN END,NO,13
130000093,ZSTO,75MM SPANNER HEAVY DUTY OPEN END,NO,13
130000094,ZSTO,SLING K-SPEC 4-WAY 12T,NO,13
130000095,ZSTO,SLING 4T 18' TWIN PATH,NO,13
130000096,ZSTO,"SLING K-SPEC,TWIN PATH 4 TON 18'",NO,13
130000097,ZSTO,"SLING K-SPEC,TWIN PATH 4 TON 100MM,30'",NO,13
130000098,ZSTO,"SLING K-SPEC,TWIN PATH 8T 200MM,18'",NO,13
130000099,ZSTO,"SLING K-SPEC,TWIN PATH 8 T 200MM/30'",NO,13
130000100,ZSTO,46MM SPANNER HEAVY DUTY 33 MM WHEEL SPANNER FOR ASHOK LEYLAND UNITS,NO,13
130000101,ZSTO,TOOL HOLDER FOR INTERNAL THREADING R166.4KF-25F22,NO,13
130000102,ZSTO,INSERT FOR INTERNAL THREADING TOOL HOLDER R166.0L-22AC01F040 1020,NO,13
130000103,ZSTO,"TOOL HOLDER FOR EXTERNAL THREADING FORSHANK SIZE 25X25,R166.4FG-2525-22",NO,13
130000104,ZSTO,INSERT FOR EXTERNAL THREADING TOOL HOLDER R166.0G-22AC01F040 1020,NO,13
130000105,ZSTO,DIES WW ROTARY POWER TONG FOR DRILL PIPE,NO,13
130000106,ZSTO,"ADAPTER 1/4"" DRIVE CR-VA ALLOY STEEL 1/4""F, 3/8""M",NO,13
130000107,ZSTO,"ADAPTER 1/2"" DRIVE DROP FORGED STEEL 1/2""F, 3/8""M",NO,13
130000108,ZSTO,"ADAPTER 1/2"" DRIVE DROP FORGED STEEL 1/2""F, 3/4""M",NO,13
130000109,ZSTO,"ADAPTER 3/8"" DRIVE DROP FORGED STEEL 3/8""F,1/2""M",NO,13
130000110,ZSTO,"ADAPTER 3/4"" DRIVE DROP FORGED STEEL 3/4""F, 1/2""M",NO,13
130000111,ZSTO,"ADAPTER 3/4"" DRIVE DROP FORGED STEEL 3/4""F, 1""M",NO,13
130000112,ZSTO,"EXTENSION 1/2"" DRIVE DROP FORGED STEEL5 FEET LENGTH",NO,13
130000113,ZSTO,"RATCHET 1/2"" DRIVE DROP FORGED STEEL LONG HANDLE",NO,13
130000114,ZSTO,"BREAKER BAR 3/4"" DRIVE ALLOY STEEL",NO,13
130000115,ZSTO,"BREAKER BAR 3/8"" DRIVE ALLOY STEEL",NO,13
130000116,ZSTO,"BREAKER BAR 1/2"" DRIVE ALLOY STEEL",NO,13
130000117,ZSTO,"BREAKER BAR 1"" DRIVE ALLOY STEEL",NO,13
130000118,ZSTO,"ALLEN KEY 0.028"" TO 5/8""",ST,13
130000119,ZSTO,MECHANICS TOOL 122PC DROP FORGED STEELPROFESSIONAL GRADE,ST,13
130000120,ZSTO,ALLEN KEY LONG ARM METRIC,ST,13
130000121,ZSTO,"CENTRE PUNCH HOLDER, 6 TO 24MM",ST,13
130000122,ZSTO,"VERNIER CALIPER RANGE:0-8"",LC:0.001""",NO,13
130000123,ZSTO,"VERNIER CALIPER 6""X150 MM",NO,13
130000124,ZSTO,BEARING SPLITTER COMBINATION PACK DROPFORGED STEEL,NO,13
130000125,ZSTO,"TAPS 1/8"" TO 1"" HS GROUND THREAD BSW",ST,13
130000126,ZSTO,"TAPS 1"" TO 1/8"" HS GROUND THREAD BSP",ST,13
130000127,ZSTO,"TAPS 1"" TO 1/8"" HS GROUND THREAD NPT",ST,13
130000128,ZSTO,"TAPS 1"" TO 1/8"" HS GROUND THREAD UNC",ST,13
130000129,ZSTO,"TAPS 1"" TO 1/8"" HS GROUND THREAD UNF",ST,13
130000130,ZSTO,"DIES 1/8"" TO 1"", BSW HS GROUND THREAD",ST,13
130000131,ZSTO,"DIES 1/8"" TO 1"", BSP HS GROUND THREAD",ST,13
130000132,ZSTO,"DIES 1/8"" TO 1"", NPT THREAD MAKING",ST,13
130000133,ZSTO,"DIES 1/8"" TO 1"", UNC HS GROUND THREAD",ST,13
130000134,ZSTO,"DIES 1/8"" TO 1"", UNF HS GROUND THREAD",ST,13
130000135,ZSTO,TAPS 2 TO 30MM HS GROUND THREAD METRIC,ST,13
130000136,ZSTO,"DIES 2 TO 30MM, METRIC HS GROUND THREAD",ST,13
130000137,ZSTO,"TAPS 1/4""TO 1"" HS GROUND THREAD BSF",ST,13
130000138,ZSTO,"DIES 1/4"" TO 1"", BSF H.S GROUND THREAD",ST,13
130000139,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL CYLINDRICAL MC-1,NO,13
130000140,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL CYLINDRICAL MC-2,NO,13
130000141,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL CYLINDRICAL MC-3,NO,13
130000142,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL CONICAL 30 DEGREE MA-2,NO,13
130000143,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL CONICAL 10 DEGREE MA-3,NO,13
130000144,ZSTO,FLEX GRINDER TOOL TIP TUNGSTEN CARBIDESTEEL SHOULDERED MT-3,NO,13
130000145,ZSTO,"TAP SET MM,BSW,BSP,UNC & NPT 50 TAPS WITH HANDLE",ST,13
130000146,ZSTO,ALLEN KEY SET 2 MM TO 20 MM,ST,13
130000147,ZSTO,"ALLEN KEY SET 1/16"" TO 1""",ST,13
130000148,ZSTO,BEARING PULLER 2 NOS EACH OF 2 LEGS TMMP 2X65 & TMMP 2X170 (TOTAL 4 NOS.),ST,13
130000149,ZSTO,"BEARING PULLER 2 NOS EACH OF 3 LEGS TMMP 3X185, 3X230 & 3X300 (TOTAL 6 NOS.)",ST,13
130000150,ZSTO,SCREW DRIVER SET OF 5 SIZES PHILLIPS STYLE,ST,13
130000151,ZSTO,"SCREW DRIVER SET OF 6 SIZES 125 TO 300MM 125,150,200,225,250 &300 MM",ST,13
130000152,ZSTO,FLAT FILE HALF ROUND & ROUND EA SMOOTH& ROUGH SET OF 12 FILES,ST,13
130000153,ZSTO,"TAP SET 1/8""BSF HSS",ST,13
130000154,ZSTO,"TAP SET 3/16""BSF HSS",ST,13
130000155,ZSTO,"TAP SET 1/4""BSF HSS",ST,13
130000156,ZSTO,"TAP SET 5/16""BSF HSS",ST,13
130000157,ZSTO,"TAP SET 7/16""BSF HSS",ST,13
130000158,ZSTO,"TAP SET 5/8""BSF HSS",ST,13
130000159,ZSTO,"TAP SET 11/16""BSF HSS",ST,13
130000160,ZSTO,"TAP SET 3/4""BSF HSS",ST,13
130000161,ZSTO,"TAP SET 7/8""BSF HSS",ST,13
130000162,ZSTO,"TAP SET 1""BSF HSS",ST,13
130000163,ZSTO,"TAP SET 1 1/8""BSF HSS",ST,13
130000164,ZSTO,"TAP SET 1 1/2""BSF HSS",ST,13
130000165,ZSTO,"TAP SET 1/8""UNC HSS",ST,13
130000166,ZSTO,"TAP SET 3/16""UNC HSS",ST,13
130000167,ZSTO,"TAP SET 1/4""UNC HSS",ST,13
130000168,ZSTO,"TAP SET 5/16""UNC HSS",ST,13
130000169,ZSTO,"TAP SET 3/8""UNC HSS",ST,13
130000170,ZSTO,"TAP SET 7/16""UNC HSS",ST,13
130000171,ZSTO,"TAP SET 9/16""UNC HSS",ST,13
130000172,ZSTO,"TAP SET 11/16""UNC HSS",ST,13
130000173,ZSTO,"TAP SET 1 1/8""UNC HSS",ST,13
130000174,ZSTO,"TAP SET 1/8""UNF HSS",ST,13
130000175,ZSTO,"TAP SET 3/16""UNF HSS",ST,13
130000176,ZSTO,"TAP SET 5/16""UNF HSS",ST,13
130000177,ZSTO,"TAP SET 9/16""UNF HSS",ST,13
130000178,ZSTO,"TAP SET 11/16""UNF HSS",ST,13
130000179,ZSTO,"TAP SET 7/8""UNF HSS",ST,13
130000180,ZSTO,"TAP SET 1 1/8""UNF HSS",ST,13
130000181,ZSTO,TAP SET 6 X 0.75 MM HSS,ST,13
130000182,ZSTO,TAP SET 12 X 1.5 MM HSS,ST,13
130000183,ZSTO,TAP SET 22 X 1.5 MM HSS,ST,13
130000184,ZSTO,TAP SET 22 X 2 MM HSS,ST,13
130000185,ZSTO,TAP SET 24 X 2 MM HSS,ST,13
130000186,ZSTO,"DRILL BIT HSS,10.8 MM, PARALLEL SHANK",NO,13
130000187,ZSTO,"DRILL BIT HSS,1/4"", PARALLEL SHANK",NO,13
130000188,ZSTO,"DIES HSS,1/2""BSW, ROUND,SINGLE PIECE",NO,13
130000189,ZSTO,"DIES HSS,1/2""BSF, ROUND,SINGLE PIECE",NO,13
130000190,ZSTO,"DIES HSS, 1/4""BSF ROUND,SINGLE PIECE",NO,13
130000191,ZSTO,"DIES HSS,1/8""UNC, ROUND,SINGLE PIECE",NO,13
130000192,ZSTO,"DIES HSS,1/4""UNC, ROUND,SINGLE PIECE",NO,13
130000193,ZSTO,"DIES HSS,5/16""UNC, ROUND,SINGLE PIECE",NO,13
130000194,ZSTO,"DIES HSS,3/8""UNC, ROUND,SINGLE PIECE",NO,13
130000195,ZSTO,"DIES HSS,1/2""UNC, ROUND,SINGLE PIECE",NO,13
130000196,ZSTO,"DIES HSS,1/4""UNF, ROUND,SINGLE PIECE",NO,13
130000197,ZSTO,"DIES HSS,5/16""UNF, ROUND,SINGLE PIECE",NO,13
130000198,ZSTO,"DIES HSS,3/8""UNF, ROUND,SINGLE PIECE",NO,13
130000199,ZSTO,"DIES HSS,1/2""UNF, ROUND,SINGLE PIECE",NO,13
130000200,ZSTO,"DIES HSS,14 X 1.5 MM ROUND,SINGLE PIECE",NO,13
130000201,ZSTO,"DRILL BIT HSS,51 MM, TAPER SHANK",NO,13
130000202,ZSTO,"DRILL BIT HSS,53 MM, TAPER SHANK",NO,13
130000203,ZSTO,"DRILL BIT HSS,60 MM, TAPER SHANK",NO,13
130000204,ZSTO,"END MILL CUTTER HSS,1/4"", PARALLEL SHANK",NO,13
130000205,ZSTO,"END MILL CUTTER HSS,5/16"", PARALLEL SHANK",NO,13
130000206,ZSTO,"END MILL CUTTER HSS,3/8"", PARALLEL SHANK",NO,13
130000207,ZSTO,"END MILL CUTTER HSS,7/16"", PARALLEL SHANK",NO,13
130000208,ZSTO,"END MILL CUTTER HSS,1/2"", PARALLEL SHANK",NO,13
130000209,ZSTO,"END MILL CUTTER HSS,3/4"", PARALLEL SHANK",NO,13
130000210,ZSTO,"END MILL CUTTER HSS,7/8"", PARALLEL SHANK",NO,13
130000211,ZSTO,"DRILL BIT 1/4"" X 5/8"", HSS CENTRE DRILL",NO,13
130000212,ZSTO,"DRILL BIT 5/16"" X 3/4"" HSS CENTRE DRILL",NO,13
130000213,ZSTO,"DRILL BIT 3/8"" X 5/32"" HSS CENTRE DRILL",NO,13
130000214,ZSTO,"DRILL BIT 5MM,HSS LONG SERIES, 12""LONG,PARALLEL SHA",NO,13
130000215,ZSTO,"DRILL BIT 6MM,HSS LONG SERIES, 12""LONG,PARALLEL SHA",NO,13
130000216,ZSTO,"DRILL BIT 8MM,HSS LONG SERIES, 12""LONG,PARALLEL SHA",NO,13
130000217,ZSTO,"DRILL BIT 10MM,HSS LONG SERIES 16""LONG,TAPER SHANK",NO,13
130000218,ZSTO,"DRILL BIT 12MM,HSS LONG SERIES 16""LONG,TAPER SHANK",NO,13
130000219,ZSTO,"TRIANGULAR FILE 2 CUT 12"" BASTARD",NO,13
130000220,ZSTO,"TRIANGULAR FILE 2 CUT 6"" BASTARD",NO,13
130000221,ZSTO,"TAP SET 3/4""UNC HSS",ST,13
130000222,ZSTO,"DIES 10 X 1.25MM,HSS CIRCULAR,ONE PIECE",NO,13
130000223,ZSTO,"DIES HSS,14 X 2MM, CIRCULAR,ONE PIECE",NO,13
130000224,ZSTO,"DIES HSS,12 X 1.5MM CIRCULAR,ONE PIECE",NO,13
130000225,ZSTO,FITTERS HAMMER 300 GM,NO,13
130000226,ZSTO,CHAIN HOIST TOOL 1/2 TON,ST,13
130000227,ZSTO,CHAIN HOIST TOOL 11/2 TON,ST,13
130000228,ZSTO,CHAIN HOIST TOOL 3 TON,ST,13
130000229,ZSTO,NYLON SLING 1 M 1.5 TON,NO,13
130000230,ZSTO,NYLON SLING 3 M 3 TON,NO,13
130000231,ZSTO,SHACKLE 4 TON,NO,13
130000232,ZSTO,BELT SPANNER CANVASS / NYLON,NO,13
130000233,ZSTO,"RATCHET DROP FORGED 3/4"" DRIVE",NO,13
130000234,ZSTO,"EXTENSION ROD 1/2"" DRIVE, 2"" LENGTH",NO,13
130000235,ZSTO,"ADAPTER DROP FORGED 3/4"" TO 1/2""",NO,13
130000236,ZSTO,HAMMER BRASS 1/2 LB,NO,13
130000237,ZSTO,HAMMER BRASS 1 LB,NO,13
130000238,ZSTO,BORING TOOL 10MM DIA P30 ISO 3R 1010 CARBIDE TIPPED,NO,13
130000239,ZSTO,HSS TAPS 1/4 INCH,NO,13
130000240,ZSTO,HSS TAPS M 22,NO,13
130000241,ZSTO,HSS TAPS 1/2 INCH NPT,NO,13
130000242,ZSTO,HSS TAPS 3/4 INCH NPT,NO,13
130000243,ZSTO,HSS TAPS 1 1/4 INCH NPT,NO,13
130000244,ZSTO,HSS TAPS 1 1/2 INCH NPT,NO,13
130000245,ZSTO,HSS TAPS 2 INCH NPT,NO,13
130000246,ZSTO,TWIST END MILLING CUTTER 1/2 INCH,NO,13
130000247,ZSTO,"HSS TURNING TOOL BIT 1/4""X6""",NO,13
130000248,ZSTO,SLING 18MM X 15FT 4 WAY SLING WITH RING&D'SHCKLE,NO,13
130000249,ZSTO,SLING 20MM X 20FT 4 WAY SLING WITH RING &D'SHACK,NO,13
130000250,ZSTO,SLING 24MM X 10FT SAFETY SLING WITH HOOK & LOOP,NO,13
130000251,ZSTO,SLING 31MM X 10FT SAFETY SLING WITH HOOK & RING,NO,13
130000252,ZSTO,SLING WEBBING BELT SLING 1TON X 10 FT 25 MM,NO,13
130000253,ZSTO,SLING WEBBING BELT SLING 1TON X 20 FT 25 MM,NO,13
130000254,ZSTO,SLING WEBBING BELT SLING 2TON X 5 FT 50 MM,NO,13
130000255,ZSTO,SLING WEBBING BELT SLING 2TON X15 FT 50 MM,NO,13
130000256,ZSTO,SLING WEBBING BELT SLING 2TON X20 FT 50 MM,NO,13
130000257,ZSTO,SLING WEBBING BELT SLING 3TON X20 FT 75 MM,NO,13
130000258,ZSTO,SLING WEBBING BELT SLING 5TON X10 FT 125 MM,NO,13
130000259,ZSTO,SLING WEBBING BELT SLING 5TON X20 FT 125 MM,NO,13
130000260,ZSTO,SLING WEBBING BELT SLING 6TON X20 FT 150 MM,NO,13
130000261,ZSTO,SLING WEBBING BELT SLING 8TON X15 FT 200 MM,NO,13
130000262,ZSTO,SLING WEBBING BELT SLING 10TON X20FT 250 MM,NO,13
130000263,ZSTO,HARDWARE MAINTENANCE KIT TOOLS MULTIMETER SOLDERING IRON,NO,13
130000264,ZSTO,TAP SET M3 TO M12 TAP AND DIE SET,ST,13
130000265,ZSTO,"EXTENSION BAR 1/4"" SQ. DRIVE 4"" LONG",NO,13
130000266,ZSTO,"SCREW DRIVER 5 1/2"" LONG OFFSET",NO,13
130000267,ZSTO,"DE RING SPANNER 7/16"" X 1/2"" B.S.F.",NO,13
130000268,ZSTO,"EXTENSION BAR 1/4"" SQ. DRIVE 2"" LONG",NO,13
130000269,ZSTO,"EXTENSION BAR 1/4"" SQ. DRIVE 8"" LONG",NO,13
130000270,ZSTO,"EXTENSION BAR 3/8"" SQ. DRIVE 3"" LONG",NO,13
130000271,ZSTO,"EXTENSION BAR 3/8"" SQ. DRIVE 12"" LONG",NO,13
130000272,ZSTO,"UNIVERSAL JOINTS 1/4"" CR-VA ALLOY STEEL 1/4"" SQ. DRIVE",NO,13
130000273,ZSTO,"UNIVERSAL JOINTS 3/8"" CR-VA ALLOY STEEL SQUARE DRIVE",NO,13
130000274,ZSTO,"TORQUE WRENCH 0-75LB IN. 1/4 "" SQ. DRIVE",NO,13
130000275,ZSTO,"TORQUE WRENCH 30-200LB IN. 3/8 "" SQ. DRIVE",NO,13
130000276,ZSTO,"TORQUE WRENCH 150-1000LB IN. 3/8 "" SQ.DRIVE",NO,13
130000277,ZSTO,"TORQUE WRENCH 30-200LB IN 1/2 "" SQ. DRIVE",NO,13
130000278,ZSTO,"TORQUE WRENCH 15-100LB IN 3/8 "" SQ. DRIVE",NO,13
130000279,ZSTO,"TORQUE WRENCH 30-200 LB IN 3/8"" SQ. DRIVE",NO,13
130000280,ZSTO,TUBULAR BOX SPANNER IGV,NO,13
130000281,ZSTO,TOOL KIT AVON INSTALLATION INDUSTRIAL,NO,13
130000282,ZSTO,CIRCLIP PLIER INNER 10 INCH,NO,13
130000283,ZSTO,CIRCLIP PLIER OUTER 10 INCH.,NO,13
130000284,ZSTO,"ADJUSTABLE SPANNER 8""",API,13
130000285,ZSTO,"DIES 1/4""TO 1"" NPT HIGH SPEED STEEL WITH HANDLE",ST,13
130000286,ZSTO,"TAPS 1/4""TO 1"" NPT HSS WITH HANDLE",ST,13
130000287,ZSTO,DRILL BIT 29MM PARALLEL SHANK,NO,13
130000288,ZSTO,SE OPEN JAW SPANNER 95MM,NO,13
130000289,ZSTO,SE OPEN JAW SPANNER 100MM,NO,13
130000290,ZSTO,SE OPEN JAW SPANNER 105MM,NO,13
130000291,ZSTO,SE RING SPANNER 41MM,NO,13
130000292,ZSTO,SE RING SPANNER 75MM,NO,13
130000293,ZSTO,SE RING SPANNER 80MM,NO,13
130000294,ZSTO,SE RING SPANNER 85MM,NO,13
130000295,ZSTO,SE RING SPANNER 90MM,NO,13
130000296,ZSTO,SE RING SPANNER 95MM,NO,13
130000297,ZSTO,SE RING SPANNER 100MM,NO,13
130000298,ZSTO,SE RING SPANNER 105MM,NO,13
130000299,ZSTO,"MONKEY PLIER 8""",NO,13
130000300,ZSTO,END MILL CUTTER 42MM PARALLEL SHANK BOLT CUTTER,NO,13
130000301,ZSTO,SE OPEN JAW SPANNER 30MM,NO,13
130000302,ZSTO,SLING WEBBING BELT SLING 10 TON CAPACITY 5 METER LENGTH,NO,13
130000303,ZSTO,INSERT PARTING (4MM WIDTH) N151.2 400 5E 4225,NO,13
130000304,ZSTO,INSERT FOR FORGE STEEL MAT. VBMT160408PF 4225,NO,13
130000305,ZSTO,INSERT BTC RECTANGULAR R166.39G24BU12 050 4225,NO,13
130000306,ZSTO,INSERT FOR CHAMFERING SNMG 190612 QM 4225,NO,13
130000307,ZSTO,INSERT DOUBLE BTC EDGE R166.39G.24BU.22.050 4225,NO,13
130000308,ZSTO,INSERT (0.4MM NOSE RADIUS) CNMG120404 PM 4225,NO,13
130000309,ZSTO,INSERT (0.8MM NOSE RADIUS) CNMG120408 PM 4225,NO,13
130000310,ZSTO,INSERT (0.8 MM RADIUS) DNMG 150608 PF 4225,NO,13
130000311,ZSTO,INSERT (0.4 MM RADIUS) DNMG 150604 PF 4225,NO,13
130000312,ZSTO,INSERT R166.0G 16VM01 001 1020,NO,13
130000313,ZSTO,INSERT R166.0G 16VM01 002 1020,NO,13
130000314,ZSTO,INSERT R166.0L 11VM01 001 1020,NO,13
130000315,ZSTO,INSERT R166.0L 16VM01 001 1020,NO,13
130000316,ZSTO,INSERT R166.0L 16VM01 002 1020,NO,13
130000317,ZSTO,INSERT R166.0L 22AC01F040 1020,NO,13
130000318,ZSTO,INSERT R166.0G 22AC01F040 1020,NO,13
130000319,ZSTO,INSERT SCREW 5513 020 13,NO,13
130000320,ZSTO,INSERT SCREW 5513 026 05,NO,13
130000321,ZSTO,INSERT SCREW 5513 026 03,NO,13
130000322,ZSTO,TOOL HOLDER R166.4FG 2020 16,NO,13
130000323,ZSTO,TOOL HOLDER DCLNR 2525 M12,NO,13
130000324,ZSTO,FLAT FILE 100 MM BASTARD,NO,13
130000325,ZSTO,C SPANNER SIZE 6-32 MM,ST,13
130000326,ZSTO,ALLEN KEY 10MM,NO,13
130000327,ZSTO,ALLEN KEY 12 MM,NO,13
130000328,ZSTO,ALLEN KEY 19 MM,NO,13
